eps,verts_ga,verts_addm
1.0,11,27
0.5623413251903491,12,27
0.31622776601683794,16,24
0.1778279410038923,25,45
0.1,30,152
0.05623413251903491,41,110
0.03162277660168379,50,250
0.01778279410038923,83,1186
0.01,93,977
0.005623413251903491,121,488
0.0031622776601683794,167,2555
0.0017782794100389228,210,1824
0.001,198,9456
0.0005623413251903491,229,19951
