eps,verts_ga,verts_addm
1.0,23,33
0.5623413251903491,29,50
0.31622776601683794,46,80
0.1778279410038923,66,151
0.1,122,252
0.05623413251903491,220,324
0.03162277660168379,300,404
0.01778279410038923,399,572
0.01,690,779
0.005623413251903491,1082,1093
0.0031622776601683794,1248,1248
0.0017782794100389228,1248,1248
0.001,1248,1248
0.0005623413251903491,1248,1248
