eps,time_ga,verts_ga
0.31622776601683794,0.03448499999999988,16
0.03162277660168379,0.0851519999999999,50
0.0031622776601683794,0.23662899999999998,167
0.00031622776601683794,0.3623829999999999,237
3.1622776601683795e-05,0.5477770000000004,376
3.162277660168379e-06,0.7462809999999998,601
3.162277660168379e-07,0.8014599999999996,644
3.162277660168379e-08,0.8289629999999999,688
3.1622776601683795e-09,0.8241380000000005,721
3.1622776601683795e-10,1.00537,1135
3.1622776601683794e-11,1.1244740000000002,1362
3.1622776601683794e-12,1.0594480000000006,1375
3.162277660168379e-13,1.1019389999999998,1376
3.1622776601683796e-14,1.1100649999999987,1376
3.1622776601683794e-15,1.0953250000000008,1376
