eps,time_ga,time_addm
1.0,0.040907999999999944,0.02459699999999998
0.5623413251903491,0.04903899999999983,0.032775
0.31622776601683794,0.07459099999999985,0.04839100000000007
0.1778279410038923,0.10109799999999991,0.06936399999999998
0.1,0.168053,0.11782900000000018
0.05623413251903491,0.264672,0.1507019999999999
0.03162277660168379,0.34721400000000013,0.18380300000000016
0.01778279410038923,0.44113099999999994,0.25163699999999967
0.01,0.6654049999999998,0.3614120000000005
0.005623413251903491,0.858225,0.513655
0.0031622776601683794,0.9798840000000002,0.645187
0.0017782794100389228,0.9573230000000006,0.6285480000000003
0.001,0.9854509999999994,0.6457390000000007
0.0005623413251903491,0.9794529999999995,0.6299959999999984
